dashboard_item_id,title,chart_type,doc_index,document_json
6944b9f0-3617-42aa-8c58-12ff668495cc,Total # Active Organizations,Number,0,"{""value"": 676}"
6944b9f0-3617-4465-8176-12ff668495b7,Versions in Use,Donut,0,"{""value"": 96547, ""label"": ""v1.23.0""}"
6944b9f0-3617-4465-8176-12ff668495b7,Versions in Use,Donut,1,"{""value"": 1641, ""label"": ""v1.22.0""}"
6944b9f0-3617-4465-8176-12ff668495b7,Versions in Use,Donut,2,"{""value"": 463, ""label"": ""1.9.1""}"
6944b9f0-3617-4465-8176-12ff668495b7,Versions in Use,Donut,3,"{""value"": 62, ""label"": ""1.19.0""}"
6944b9f0-3617-4465-8176-12ff668495b7,Versions in Use,Donut,4,"{""value"": 4, ""label"": ""1.6.0""}"
6944b9f0-3617-4465-8176-12ff668495b7,Versions in Use,Donut,5,"{""value"": 3, ""label"": ""v1.20.2""}"
6944b9f0-3617-4465-8176-12ff668495b7,Versions in Use,Donut,6,"{""value"": 3, ""label"": ""1.9.0""}"
6944b9f0-3617-4465-8176-12ff668495b7,Versions in Use,Donut,7,"{""value"": 2, ""label"": ""1.20.1""}"
6944b9f0-3617-4704-8c64-12ff668495ba,Number of&nbsp; Errors,Gauge,0,"{""value"": 889}"
6944b9f0-3617-4fec-8f66-12ff668495bd,User Operating Systems,Donut,0,"{""value"": 47325, ""label"": ""Windows""}"
6944b9f0-3617-4fec-8f66-12ff668495bd,User Operating Systems,Donut,1,"{""value"": 43302, ""label"": ""OS X""}"
6944b9f0-3617-4fec-8f66-12ff668495bd,User Operating Systems,Donut,2,"{""value"": 5433, ""label"": ""Linux""}"
6944b9f0-3617-4fec-8f66-12ff668495bd,User Operating Systems,Donut,3,"{""value"": 1284, ""label"": ""Android""}"
6944b9f0-3617-4fec-8f66-12ff668495bd,User Operating Systems,Donut,4,"{""value"": 1080, ""label"": ""iOS""}"
6944b9f0-3617-4fec-8f66-12ff668495bd,User Operating Systems,Donut,5,"{""value"": 728, ""label"": ""Ubuntu""}"
6944b9f0-3617-4fec-8f66-12ff668495bd,User Operating Systems,Donut,6,"{""value"": 48, ""label"": ""Chrome OS""}"
6944b9f0-3617-4fec-8f66-12ff668495bd,User Operating Systems,Donut,7,"{""value"": 3, ""label"": ""Tizen""}"
6944b9f0-3617-4631-859d-12ff668495c0,User Browsers,Donut,0,"{""value"": 462, ""label"": ""Chrome""}"
