dashboard_item_id,title,chart_type,status,attempts,document_count,sample_first_document
6944b9f0-3617-42aa-8c58-12ff668495cc,Total # Active Organizations,Number,complete,1,1,"{""value"": 676}"
6944b9f0-3617-4465-8176-12ff668495b7,Versions in Use,Donut,complete,1,8,"{""value"": 96547, ""label"": ""v1.23.0""}"
6944b9f0-3617-4704-8c64-12ff668495ba,Number of&nbsp; Errors,Gauge,complete,1,1,"{""value"": 889}"
6944b9f0-3617-4fec-8f66-12ff668495bd,User Operating Systems,Donut,complete,1,8,"{""value"": 47325, ""label"": ""Windows""}"
6944b9f0-3617-4631-859d-12ff668495c0,User Browsers,Donut,complete,1,9,"{""value"": 462, ""label"": ""Chrome""}"
6944b9f0-3617-4c0c-8ada-12ff668495c3,# Daily Active Users,Grouped Column,complete,1,10,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 1}, ""y"": 95}"
6944b9f0-3617-4c87-8a08-12ff668495c5,Top 10 Chart Types Added,Grouped Bar,complete,1,10,"{""x"": 18998, ""y"": ""Number""}"
6944b9f0-3617-49a8-8c09-12ff668495c8,Top 10 Events Fired,Grouped Bar,complete,1,10,"{""x"": 50990, ""y"": ""render""}"
6944b9f0-3617-4bb5-8528-12ff668495ca,# Daily Active Organizations,Grouped Column,complete,1,10,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 1}, ""y"": 165}"
6944b9f0-3617-414a-852c-12ff668495cf,Total # Active Users,Number,complete,1,1,"{""value"": 539}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,complete,1,14,"{""x"": {""day"": 7}, ""y"": 1205, ""color"": ""sdk""}"
6944b9f0-3617-4ca6-8479-12ff668495d6,# Organizations by Embedding Types,Donut,complete,1,2,"{""label"": ""iframe"", ""value"": 94}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,complete,1,34,"{""x"": {""day"": 7}, ""y"": 29, ""color"": ""1.9.1""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,complete,1,27,"{""group"": ""Connection time out"", ""value"": 183, ""group_series_0"": ""v1.23.0"", ""value_series_0"": 67, ""group_series_1"": ""Server""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,complete,1,28,"{""x"": 608, ""color"": ""max_response_size"", ""y"": ""DashboardItem""}"
